,Accuracy,Precision,Recall,F1 Score
Random Forest,91.17352056168505,16.071428571428573,18.0,16.9811320754717
Extra Trees,90.37111334002006,12.903225806451612,16.0,14.285714285714285
Decision Tree,82.14643931795386,12.352941176470589,42.0,19.090909090909093
KNN,80.04012036108324,10.16042780748663,38.0,16.033755274261605
Logistic Regression,74.12236710130391,13.88888888888889,80.0,23.668639053254438
Gaussian Naive Bayes,73.11935807422267,12.413793103448276,72.0,21.176470588235293
